category_id,category_name,avg_lifespan_days,is_consumable,daily_usage_ml,lifespan_per_100ml
C001,스킨토너,60,1,2.0,50
C002,에센스세럼,75,1,1.2,83
C003,크림,90,1,1.5,67
C004,클렌징폼,70,1,1.8,56
C005,선케어,45,1,2.5,40
C006,마스크팩,30,1,0.0,0
C007,샴푸,80,1,4.0,25
C008,트리트먼트,75,1,3.5,29
C009,바디로션,85,1,5.0,20
C010,립밤,100,1,0.2,500
C011,쿠션파운데이션,120,1,0.3,333
C012,아이섀도우,365,0,0.0,0
C013,앰플,50,1,0.8,125
C014,아이크림,90,1,0.3,333
C015,토너패드,45,1,0.0,0
C016,미스트,60,1,3.0,33
C017,클렌징오일,60,1,2.0,50
C018,립스틱,180,1,0.05,2000
C019,바디워시,60,1,6.0,17
C020,헤어에센스,90,1,1.0,100
