user_id,skin_type,skin_concerns,age_group
U0001,지성,모공|여드름|주름,20대초반
U0002,건성,장벽,40대이상
U0003,민감성,홍조|모공|각질,10대
U0004,지성,모공,20대초반
U0005,지성,각질|여드름|홍조,40대이상
U0006,지성,장벽|홍조|미백,30대초반
U0007,중성,주름|여드름|피지,30대초반
U0008,지성,주름|피지,20대후반
U0009,민감성,모공,10대
U0010,복합성,탄력|각질,10대
U0011,민감성,잡티|홍조|모공,10대
U0012,복합성,주름|진정|각질,30대후반
U0013,건성,장벽,10대
U0014,지성,건조|주름|모공,10대
U0015,중성,주름|잡티,20대후반
U0016,복합성,탄력,20대초반
U0017,수부지,주름|진정|모공,40대이상
U0018,중성,홍조,20대초반
U0019,민감성,잡티,20대후반
U0020,중성,장벽|홍조|건조,20대후반
U0021,건성,건조,20대후반
U0022,지성,주름|모공,30대후반
U0023,민감성,탄력|건조|잡티,40대이상
U0024,지성,피지|주름,20대초반
U0025,중성,홍조|장벽|주름,30대후반
U0026,복합성,각질|미백,20대초반
U0027,민감성,홍조,10대
U0028,지성,모공,40대이상
U0029,민감성,진정,30대후반
U0030,민감성,미백,30대후반
U0031,수부지,홍조|주름,10대
U0032,복합성,장벽|모공|홍조,40대이상
U0033,민감성,모공|주름,20대초반
U0034,수부지,여드름|주름,20대초반
U0035,중성,모공|진정|주름,30대후반
U0036,지성,건조|피지|탄력,30대후반
U0037,민감성,여드름|각질|탄력,10대
U0038,복합성,탄력,20대초반
U0039,수부지,건조,10대
U0040,민감성,장벽,10대
U0041,수부지,피지|장벽|잡티,20대초반
U0042,민감성,홍조|각질,20대초반
U0043,민감성,장벽|건조|주름,40대이상
U0044,민감성,탄력|잡티|홍조,10대
U0045,건성,건조,20대후반
U0046,수부지,각질,20대초반
U0047,중성,건조|여드름|모공,40대이상
U0048,건성,건조,10대
U0049,지성,모공|홍조,20대후반
U0050,지성,잡티|건조|홍조,40대이상
U0051,민감성,각질|잡티|건조,30대초반
U0052,건성,모공,40대이상
U0053,민감성,탄력|미백,30대초반
U0054,건성,여드름|진정|모공,30대초반
U0055,지성,탄력|모공|건조,20대초반
U0056,지성,잡티|피지|미백,20대후반
U0057,민감성,건조|모공,30대후반
U0058,중성,여드름,30대후반
U0059,지성,모공,20대초반
U0060,지성,잡티|장벽,30대초반
U0061,민감성,피지,10대
U0062,복합성,주름|잡티,30대초반
U0063,지성,장벽|홍조|잡티,20대초반
U0064,수부지,건조|여드름,40대이상
U0065,건성,여드름|탄력|장벽,30대후반
U0066,지성,홍조|장벽,10대
U0067,수부지,모공|피지|장벽,10대
U0068,수부지,건조|미백|모공,20대초반
U0069,건성,각질|여드름|장벽,30대초반
U0070,복합성,각질|장벽|홍조,20대후반
U0071,중성,진정,20대후반
U0072,민감성,주름,20대초반
U0073,복합성,진정|주름|잡티,10대
U0074,수부지,잡티,30대후반
U0075,수부지,모공,20대초반
U0076,건성,주름|피지|탄력,20대초반
U0077,민감성,주름|피지,30대후반
U0078,건성,주름|각질|홍조,40대이상
U0079,지성,주름|진정|모공,20대후반
U0080,중성,모공,30대후반
U0081,복합성,주름,30대후반
U0082,복합성,장벽,20대초반
U0083,민감성,진정|주름|홍조,20대후반
U0084,중성,모공,30대초반
U0085,복합성,여드름|장벽,20대초반
U0086,수부지,주름|피지|잡티,40대이상
U0087,건성,홍조|여드름,10대
U0088,복합성,피지|홍조|여드름,30대후반
U0089,건성,피지|미백|장벽,20대후반
U0090,지성,여드름|탄력,40대이상
U0091,건성,진정,20대후반
U0092,지성,미백|각질|피지,20대초반
U0093,건성,미백,20대초반
U0094,복합성,탄력|미백|건조,20대초반
U0095,민감성,모공|미백|여드름,20대초반
U0096,복합성,잡티,20대후반
U0097,건성,건조,40대이상
U0098,복합성,미백,20대후반
U0099,복합성,주름,40대이상
U0100,복합성,미백|진정|홍조,10대
